[1427201553.866348] RMnode-0 | created with id 0
[1427204859.307767] RMnode-0 | get report from node 1 : {u'load': 0.6936518937605649, u'jid': 3, u'name': u'sd3', u'__class__': u'Job', u'RM_assigned': 0, u'duration': 20, u'GS_assignee': 1}

[1427204980.641446] RMnode-0 | RM will down!

[1427204982.908045] RMnode-0 | created with id 0

[1427204982.913107] RMnode-0 | created with id 0

[1427204996.767585] RMnode-0 | [2] [WK-2] ;Load:0.000000; Stat:0 assigned job {u'load': 0.5967865727730387, u'jid': 1, u'name': u'fd1', u'RM_assigned': 0, u'__class__': u'Job', u'duration': 25, u'GS_assignee': 1}

[1427205018.489968] RMnode-0 | RM will down!

[1427205021.014693] RMnode-0 | created with id 0

[1427205021.038968] RMnode-0 | created with id 0

[1427205035.763150] RMnode-0 | [0] [WK-0] ;Load:0.000000; Stat:0 assigned job {u'load': 0.46789503854923953, u'jid': 4, u'name': u'ds4', u'RM_assigned': 0, u'__class__': u'Job', u'duration': 23, u'GS_assignee': 1}

[1427205058.822225] RMnode-0 | get report from node 0 : {u'load': 0.46789503854923953, u'jid': 4, u'name': u'ds4', u'__class__': u'Job', u'RM_assigned': 0, u'duration': 23, u'GS_assignee': 1}

[1427205068.471485] RMnode-0 | RM will down!

[1427209848.038863] RMnode-0 | created with id 0

[1427209848.077502] RMnode-0 | created with id 0

[1427209849.147548] RMnode-0 | [1] [WK-1] ;Load:0.000000; Stat:0 assigned job {u'load': 0.03823210711037295, u'jid': 0, u'name': u'fd0', u'RM_assigned': 0, u'__class__': u'Job', u'duration': 18, u'GS_assignee': 1}

[1427209861.875072] RMnode-0 | [1] [WK-1] ;Load:0.038232; Stat:1 assigned job {u'load': 0.2562164583327754, u'jid': 3, u'name': u'fds3', u'RM_assigned': 0, u'__class__': u'Job', u'duration': 19, u'GS_assignee': 1}

[1427209867.189570] RMnode-0 | get report from node 1 : {u'load': 0.03823210711037295, u'jid': 0, u'name': u'fd0', u'__class__': u'Job', u'RM_assigned': 0, u'duration': 18, u'GS_assignee': 1}

[1427209875.454350] RMnode-0 | RM will down!

[1427210185.245588] RMnode-0 | created with id 0

[1427210185.252330] RMnode-0 | created with id 0

[1427210186.278422] RMnode-0 | [2] [WK-2] ;Load:0.000000; Stat:0 assigned job {u'load': 0.7577843326732345, u'jid': 0, u'name': u'fd0', u'RM_assigned': 0, u'__class__': u'Job', u'duration': 22, u'GS_assignee': 1}

[1427210191.224764] RMnode-0 | RM will down!

